sample_id,task_type,user_query,file_path,manual_baseline,expected_tool_name,notes
human_001,normalization,查询2020年网约车的CO2排放因子,,researcher_normalizes_alias_then_queries,query_emission_factors,对比人工先查别名再手动补参数
human_002,normalization,查询2018年公交车NOx排放因子,,researcher_maps_vehicle_then_queries,query_emission_factors,对比人工车型标准化
human_003,file_task,请识别这个轨迹文件并计算排放,evaluation/file_tasks/data/micro_time_speed.csv,manual_open_file_identify_columns_then_run,calculate_micro_emission,对比人工读列名
human_004,file_task,请识别这个中文轨迹文件并计算排放,evaluation/file_tasks/data/micro_cn.csv,manual_open_file_identify_columns_then_run,calculate_micro_emission,对比中文列映射
human_005,file_task,分析这个非标准列名路段文件,evaluation/file_tasks/data/macro_fuzzy.csv,manual_open_file_map_columns_then_run,calculate_macro_emission,对比列语义匹配耗时
human_006,file_task,计算这个中文路段和车型构成文件,evaluation/file_tasks/data/macro_cn_fleet.csv,manual_open_file_map_columns_then_run,calculate_macro_emission,对比列映射与车型占比整理
human_007,end2end,请基于上传的轨迹文件计算出租车CO2和NOx排放,evaluation/file_tasks/data/micro_full.csv,manual_identify_task_fill_params_run_export,calculate_micro_emission,对比端到端完成时间
human_008,end2end,计算这个路段流量文件的CO2和NOx排放,evaluation/file_tasks/data/macro_direct.csv,manual_identify_task_fill_params_run_export,calculate_macro_emission,对比宏观任务完成时间
human_009,end2end,分析这个带 geometry 的路网文件并给地图,test_data/test_6links.xlsx,manual_identify_task_fill_params_run_export,calculate_macro_emission,对比地图输出准备时间
human_010,end2end,查询2021年SUV冬季高速工况下的NOx和PM2.5排放因子,,manual_extract_vehicle_pollutants_year_then_query,query_emission_factors,对比纯问答任务效率
