task_id,category,first_msg,expected_tool,resolver_outcome,hit_step,desired_chain_raw,wants_factor,file_task_type,has_因子,has_排放因子,has_排放,has_factor_en,has_emission_en,has_confirm_first,has_micro_keyword,has_macro_keyword
e2e_simple_001,simple,查询2020年网约车的CO2排放因子,query_emission_factors,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_simple_002,simple,查询2021年SUV冬季高速公路工况下的NOx和PM2.5排放因子,query_emission_factors,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_simple_003,simple,请基于上传的轨迹文件计算出租车CO2和NOx排放,calculate_micro_emission,calculate_micro_emission,desired_chain,calculate_micro_emission,false,micro_emission,false,false,true,false,false,false,false,false
e2e_simple_004,simple,计算这个路段流量文件的CO2和NOx排放,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission,false,macro_emission,false,false,true,false,false,false,false,false
e2e_simple_005,simple,MOVES 里 Passenger Car 和 Passenger Truck 的区别是什么？,query_knowledge,None,none,,false,no_file,false,false,false,false,false,false,false,false
e2e_ambiguous_001,parameter_ambiguous,查询2020年家用车的CO2排放因子,query_emission_factors,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_ambiguous_002,parameter_ambiguous,计算这份中文轨迹文件里公交的NOx排放,calculate_micro_emission,calculate_micro_emission,desired_chain,calculate_micro_emission,false,micro_emission,false,false,true,false,false,false,false,false
e2e_ambiguous_003,parameter_ambiguous,请分析这份路网文件里重卡的CO2排放,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission,false,macro_emission,false,false,true,false,false,false,false,false
e2e_ambiguous_004,parameter_ambiguous,查询高架路上公交车的氮氧化物排放因子,query_emission_factors,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_ambiguous_005,parameter_ambiguous,分析这个非标准列名路段文件的细颗粒物排放,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission,false,macro_emission,false,false,true,false,false,false,false,false
e2e_multistep_001,multi_step,请先计算这个路网文件的CO2排放，再做扩散分析,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission;calculate_dispersion,false,macro_emission,false,false,true,false,false,false,false,false
e2e_multistep_002,multi_step,先算这份路网文件的NOx排放，再做扩散，然后找热点,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission;calculate_dispersion;analyze_hotspots,false,macro_emission,false,false,true,false,false,false,false,false
e2e_multistep_003,multi_step,计算这个中文路网文件的CO2排放并在地图上展示,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission;render_spatial_map,false,macro_emission,false,false,true,false,false,false,false,false
e2e_multistep_004,multi_step,先算这个非标准列名路网文件的CO2排放，再做扩散图,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission;calculate_dispersion,false,macro_emission,false,false,true,false,false,false,false,false
e2e_multistep_005,multi_step,帮我计算这份路网的NOx排放，做扩散，并渲染空间结果,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission;calculate_dispersion;render_spatial_map,false,macro_emission,false,false,true,false,false,false,false,false
e2e_incomplete_001,incomplete,查询2020年CO2排放因子,-,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_incomplete_002,incomplete,查询2020年乘用车排放因子,-,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_incomplete_003,incomplete,帮我做扩散分析,-,calculate_dispersion,desired_chain,calculate_dispersion,false,no_file,false,false,false,false,false,false,false,false
e2e_incomplete_004,incomplete,请直接做热点分析,-,analyze_hotspots,desired_chain,analyze_hotspots,false,no_file,false,false,false,false,false,false,false,false
e2e_incomplete_005,incomplete,把结果画成地图,-,render_spatial_map,desired_chain,render_spatial_map,false,no_file,false,false,false,false,false,false,false,false
e2e_constraint_001,constraint_violation,查询2020年摩托车在高速公路上的CO2排放因子,-,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_constraint_002,constraint_violation,请用这个路网文件计算摩托车在高速公路上的CO2排放,-,calculate_macro_emission,desired_chain,calculate_macro_emission,false,macro_emission,false,false,true,false,false,false,false,false
e2e_constraint_003,constraint_violation,查询2020年motorcycle在motorway上的NOx排放因子,-,query_emission_factors,desired_chain,query_emission_factors,true,no_file,true,true,true,false,false,false,false,false
e2e_constraint_004,constraint_violation,请计算这个文件里摩托车在expressway上的CO2排放,-,calculate_macro_emission,desired_chain,calculate_macro_emission,false,macro_emission,false,false,true,false,false,false,false,false
e2e_constraint_005,constraint_violation,请计算这个路网文件冬季条件下的NOx排放，再用urban_summer_day做扩散,calculate_macro_emission,calculate_macro_emission,desired_chain,calculate_macro_emission;calculate_dispersion,false,macro_emission,false,false,true,false,false,false,false,false
